id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree canopy symptoms,field:optional - did the tree have heat damage,field:percent canopy affected (%),field:dieback percent,field:number of additional unhealthy trees (of same species) in area (within sight),field:percent of trees (of same species) within sight that are unhealthy,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - site type,field:optional - site/location description,field:optional - site/area disturbance level,field:optional - site hydrology,field:optional - access to water,field:optional - slope position,field:optional - were there any other unhealthy plant species on the site?,field:optional - timing of symptoms estimate,field:optional - estimated time spent to make this observation (# of minutes),field:optional - can we follow up with you?,field:tree number (from google map) if applicable,field:notes
78542679,2021-05-12 13:12:24,2021-05-12,2021-05-12 20:12:24 UTC,Pacific Time (US & Canada),498455,deborah_naslund,Deborah Naslund,2021-05-13 04:25:32 UTC,2021-05-14 14:28:35 UTC,research,,https://www.inaturalist.org/observations/78542679,https://static.inaturalist.org/photos/128555477/medium.jpeg,,"",,1,0,false,2,"Jefferson County, WA, USA",47.8247799722,-123.012994,,,,,,,open,false,gps,gps,,Jefferson,Washington,United States,Washington,Jefferson,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Large (too big to wrap arms around trunk),Rural,Inside a forest canopy,"None - natural forest, far from development",Seasonally flooded area,,Riverbank,Not sure,This is the first time I have seen this tree,03,Yes,,This site is along the Lower Big Quilcene trail.
78549301,2021-05-12 18:20:51,2021-05-12,2021-05-13 01:20:51 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2021-05-13 07:05:08 UTC,2021-05-13 07:06:58 UTC,needs_id,,https://www.inaturalist.org/observations/78549301,https://static.inaturalist.org/photos/128567273/medium.jpeg,,"",,0,0,false,2,"Clatsop County, US-OR, Lewis and Clark National Historic Trail, US",46.1813861111,-123.8374833333,,,,,,,open,false,gps,gps,,Clatsop,Oregon,United States,Oregon,Clatsop,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Large (too big to wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Middle of a slope,No,No selection,200,No Selection,,Tree in backyard. Near the Goonies house.
78568346,Thu May 13 2021 06:08:21 GMT-0700 (PDT),2021-05-13,2021-05-13 13:08:21 UTC,Pacific Time (US & Canada),4230314,remimasson,,2021-05-13 13:09:55 UTC,2021-05-13 13:10:29 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/78568346,https://inaturalist-open-data.s3.amazonaws.com/photos/128599773/medium.jpg,,"","",0,0,false,3,"Carmichael St, Maple Ridge, BC, CA",49.1990049133,-122.5238031106,257,,,,257,,open,false,,,,Greater Vancouver,British Columbia,Canada,British Columbia,Greater Vancouver,"",Thuja plicata,western redcedar,Plantae,48252,Tree is dead,,tree is dead,,More than 10,,No,No selection,Medium (can wrap arms around trunk),Suburban,Inside a forest canopy,"Low - fairly natural, not much development",Upland or well drained,,Lower slope,No,No selection,"",No Selection,,""
78600923,Thu May 13 2021 10:48:40 GMT-0700 (PDT),2021-05-13,2021-05-13 17:48:40 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 17:50:21 UTC,2021-12-10 21:49:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78600923,https://inaturalist-open-data.s3.amazonaws.com/photos/128653980/medium.jpg,,"","",1,0,false,3,"12th Ave S, Des Moines, WA, US",47.3815871962,-122.3188506347,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,Area is flat (e.g. field),No selection,No selection,"",No Selection,,""
78602504,2021-05-13 10:59:49,2021-05-13,2021-05-13 17:59:49 UTC,UTC,3860770,jaahljuu,Jaahljuu,2021-05-13 18:01:45 UTC,2023-05-12 18:43:54 UTC,needs_id,,https://www.inaturalist.org/observations/78602504,https://static.inaturalist.org/photos/128656794/medium.jpeg,,"","Unable to identify any deadtop cedar at this location, as viewed foom the shoreline of an open bay at low tide.",0,0,false,2,"Prince Rupert, BC, Canada",54.2663243786,-130.2638121508,9,,,,9,,open,false,,,,Skeena-Queen Charlotte,British Columbia,Canada,British Columbia,Skeena-Queen Charlotte,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,"Fungal Activitiy (mycelial fans, bleeding cankers, mushrooms at base, or conks on trunk)",No selection,Suburban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,,No Selection,,""
78604035,Thu May 13 2021 11:12:00 GMT-0700 (PDT),2021-05-13,2021-05-13 18:12:00 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 18:13:20 UTC,2021-12-10 21:49:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78604035,https://inaturalist-open-data.s3.amazonaws.com/photos/128659704/medium.jpg,,"","",1,0,false,3,"12th Ave S, Des Moines, WA, US",47.3815188418,-122.3187657261,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,Area is flat (e.g. field),No selection,No selection,"",No Selection,,""
78604361,Thu May 13 2021 11:14:10 GMT-0700 (PDT),2021-05-13,2021-05-13 18:14:10 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 18:15:47 UTC,2021-12-10 21:48:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78604361,https://inaturalist-open-data.s3.amazonaws.com/photos/128660215/medium.jpg,,"","",1,0,false,3,"12th Ave S, Des Moines, WA, US",47.3815242062,-122.3187210505,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,Area is flat (e.g. field),No selection,No selection,"",No Selection,,""
78609155,2021-05-12 14:26:50,2021-05-12,2021-05-12 21:26:50 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2021-05-13 18:51:37 UTC,2022-10-04 00:27:37 UTC,research,,https://www.inaturalist.org/observations/78609155,https://static.inaturalist.org/photos/128668423/medium.jpeg,,"",,1,0,false,2,"Naselle, WA 98638, USA",46.2487916667,-123.8630027778,,,,,,,open,false,gps,gps,,Pacific,Washington,United States,Washington,Pacific,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Small (can wrap hands around trunk),Suburban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Other,,Area is flat (e.g. field),No selection,No selection,180,No Selection,,Within 50 ft of the mouth of the Columbia River where it meets the ocean. Two other small trees with this one.
78614205,2021-05-12 12:46:22,2021-05-12,2021-05-12 19:46:22 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2021-05-13 19:33:19 UTC,2022-04-03 03:11:29 UTC,research,,https://www.inaturalist.org/observations/78614205,https://static.inaturalist.org/photos/128676648/medium.jpeg,,"",,1,0,false,2,"Nehalem, OR 97131, USA",45.8456,-123.7599333333,,,,,,,open,false,gps,gps,,Clatsop,Oregon,United States,Oregon,Clatsop,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Large (too big to wrap arms around trunk),Rural,Inside a forest canopy,"Low - fairly natural, not much development",Upland or well drained,,Middle of a slope,No selection,No selection,60,No Selection,,Covered in moss. Older tree. Older growth forest.
78620270,2021-05-11 19:16:07,2021-05-11,2021-05-12 02:16:07 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2021-05-13 20:22:11 UTC,2021-06-05 17:09:25 UTC,research,,https://www.inaturalist.org/observations/78620270,https://static.inaturalist.org/photos/128686763/medium.jpeg,,"",,1,0,false,2,"Seaside, OR 97138, USA",45.7809388889,-123.417025,,,,,,,open,false,gps,gps,,Clatsop,Oregon,United States,Oregon,Clatsop,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Rural,Forest edge,"Low - fairly natural, not much development",Upland or well drained,,Lower slope,No selection,No selection,120,No Selection,,Bottom forest where upper forest had been cut back from timber companies
78624632,2021-05-11 19:12:16,2021-05-11,2021-05-12 02:12:16 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2021-05-13 21:02:27 UTC,2022-04-03 03:11:23 UTC,research,,https://www.inaturalist.org/observations/78624632,https://static.inaturalist.org/photos/128694648/medium.jpeg,,"",,1,0,false,2,"Timber, OR 97144, USA",45.7820055556,-123.4057277778,,,,,,,open,false,gps,gps,,Clatsop,Oregon,United States,Oregon,Clatsop,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Browning Canopy,,60-99% of the canopy is unhealthy,,More than 10,,Not sure,Multiple factors (please describe in Notes),Medium (can wrap arms around trunk),Rural,Other,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Summit of hill or mountain,Yes (please identify other species in notes),This is the first time I have seen this tree,100,No Selection,,Multiple dying trees at logged clear cut. Dying Douglas fir as well. Clearcut happened in last two years.
78625146,Thu May 13 2021 14:04:08 GMT-0700 (PDT),2021-05-13,2021-05-13 21:04:08 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:05:58 UTC,2021-12-10 21:48:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78625146,https://inaturalist-open-data.s3.amazonaws.com/photos/128695290/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3819896114,-122.3216067721,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78625631,Thu May 13 2021 14:08:37 GMT-0700 (PDT),2021-05-13,2021-05-13 21:08:37 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:09:40 UTC,2021-12-10 21:48:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78625631,https://inaturalist-open-data.s3.amazonaws.com/photos/128696009/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3817737743,-122.3214492793,180,,,,180,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Large (too big to wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78626609,Thu May 13 2021 14:17:28 GMT-0700 (PDT),2021-05-13,2021-05-13 21:17:28 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:18:49 UTC,2021-12-10 21:48:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78626609,https://inaturalist-open-data.s3.amazonaws.com/photos/128698402/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3819594365,-122.3212611024,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78626989,Thu May 13 2021 14:21:53 GMT-0700 (PDT),2021-05-13,2021-05-13 21:21:53 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:23:07 UTC,2021-12-10 21:48:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78626989,https://inaturalist-open-data.s3.amazonaws.com/photos/128698939/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.382038394,-122.3212665507,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Large (too big to wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78627216,Thu May 13 2021 14:24:27 GMT-0700 (PDT),2021-05-13,2021-05-13 21:24:27 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:25:43 UTC,2021-12-10 21:48:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78627216,https://inaturalist-open-data.s3.amazonaws.com/photos/128699098/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3819753202,-122.3213478551,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78627334,Thu May 13 2021 14:25:18 GMT-0700 (PDT),2021-05-13,2021-05-13 21:25:18 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:27:09 UTC,2021-12-10 21:48:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78627334,https://inaturalist-open-data.s3.amazonaws.com/photos/128699395/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3819353804,-122.3213517946,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78627406,Thu May 13 2021 14:26:44 GMT-0700 (PDT),2021-05-13,2021-05-13 21:26:44 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:27:56 UTC,2021-12-10 21:48:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78627406,https://inaturalist-open-data.s3.amazonaws.com/photos/128699536/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3819497973,-122.3214962987,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78627829,Thu May 13 2021 14:31:38 GMT-0700 (PDT),2021-05-13,2021-05-13 21:31:38 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:31:58 UTC,2021-12-10 21:48:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78627829,https://inaturalist-open-data.s3.amazonaws.com/photos/128700380/medium.jpg,,"","",1,0,false,3,"S 245th Pl, Des Moines, WA, US",47.3818164412,-122.3213363719,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78627899,Thu May 13 2021 14:32:19 GMT-0700 (PDT),2021-05-13,2021-05-13 21:32:19 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:32:45 UTC,2021-12-10 21:48:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78627899,https://inaturalist-open-data.s3.amazonaws.com/photos/128700547/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3818710074,-122.3213637808,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78628293,Thu May 13 2021 14:35:30 GMT-0700 (PDT),2021-05-13,2021-05-13 21:35:30 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:36:23 UTC,2021-12-10 21:47:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78628293,https://inaturalist-open-data.s3.amazonaws.com/photos/128702471/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3818702531,-122.321416922,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78628463,Thu May 13 2021 14:37:19 GMT-0700 (PDT),2021-05-13,2021-05-13 21:37:19 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:38:15 UTC,2021-12-10 21:47:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78628463,https://inaturalist-open-data.s3.amazonaws.com/photos/128701903/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3818681995,-122.3213486095,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78629139,Thu May 13 2021 14:38:58 GMT-0700 (PDT),2021-05-13,2021-05-13 21:38:58 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:42:59 UTC,2021-12-10 21:47:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78629139,https://inaturalist-open-data.s3.amazonaws.com/photos/128702822/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3818644695,-122.3213473522,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,No selection,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78629438,Thu May 13 2021 14:41:56 GMT-0700 (PDT),2021-05-13,2021-05-13 21:41:56 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:44:58 UTC,2021-12-10 21:47:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78629438,https://inaturalist-open-data.s3.amazonaws.com/photos/128703243/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.381819333,-122.3213439157,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Small (can wrap hands around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78629611,Thu May 13 2021 14:44:36 GMT-0700 (PDT),2021-05-13,2021-05-13 21:44:36 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:46:22 UTC,2021-12-10 21:47:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78629611,https://inaturalist-open-data.s3.amazonaws.com/photos/128703539/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3818266672,-122.3213388027,10,,,,10,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78629848,Thu May 13 2021 14:46:27 GMT-0700 (PDT),2021-05-13,2021-05-13 21:46:27 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 21:48:51 UTC,2021-12-10 21:47:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78629848,https://inaturalist-open-data.s3.amazonaws.com/photos/128703953/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3818492564,-122.3213621044,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Other (please describe in Notes),,60-99% of the canopy is unhealthy,,0,,Not sure,No selection,No selection,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78632126,Thu May 13 2021 15:07:12 GMT-0700 (PDT),2021-05-13,2021-05-13 22:07:12 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 22:07:57 UTC,2021-12-10 21:47:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78632126,https://inaturalist-open-data.s3.amazonaws.com/photos/128707243/medium.jpg,,"","",1,0,false,3,"S 245th Pl, Des Moines, WA, US",47.3818456941,-122.3212929537,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78632275,Thu May 13 2021 15:08:17 GMT-0700 (PDT),2021-05-13,2021-05-13 22:08:17 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 22:09:32 UTC,2021-12-10 21:47:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78632275,https://inaturalist-open-data.s3.amazonaws.com/photos/128707509/medium.jpg,,"","",1,0,false,3,"9th Pl S, Des Moines, WA, US",47.3819081393,-122.3212785368,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,"Yes (please elaborate in Notes, add Picture if possible)",No selection,No selection,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78632335,Thu May 13 2021 15:09:44 GMT-0700 (PDT),2021-05-13,2021-05-13 22:09:44 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 22:10:15 UTC,2021-12-10 21:47:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78632335,https://inaturalist-open-data.s3.amazonaws.com/photos/128707634/medium.jpg,,"","",1,0,false,3,"S 245th Pl, Des Moines, WA, US",47.3819007632,-122.3212536426,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,2-3,,"Yes (please elaborate in Notes, add Picture if possible)",No selection,No selection,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
78632829,Thu May 13 2021 15:15:00 GMT-0700 (PDT),2021-05-13,2021-05-13 22:15:00 UTC,Pacific Time (US & Canada),3275925,margmacd,Margaret Read Read MacDonald,2021-05-13 22:15:41 UTC,2023-01-11 20:41:42 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/78632829,https://inaturalist-open-data.s3.amazonaws.com/photos/128708644/medium.jpg,,"","",3,0,false,3,"9th Pl S, Des Moines, WA, US",47.3819246516,-122.3217543774,5,,,,5,,open,false,,,Des Moines City Limits,King,Washington,United States,Washington,King,"Cypresses, Cedars, Junipers, and Allies",Cupressoideae,"Cypresses, Cedars, Junipers, and Allies",Plantae,1150915,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
